Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Product rating count (product.metafields.reviews.rating_count),Color (product.metafields.shopify.color-pattern),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Size (product.metafields.shopify.size),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
the-essentials-car-cleaning-kit,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/BUG_AND_TAR_REMOVER_-_FINAL.jpg?v=1739237413,19,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superior-microfibre-towel-50cm-x-60cm,Premium Microfibre Cloth 50cm x 60cm,"<p>Our premium microfibre cloth is perfect at<span> effectively lifting trapped dirt &amp; grime whilst also being ultra soft to avoid leaving any marks or scratches. <br></span></p>
<ul data-gtm-vis-total-visible-time9866930_287=""500"" data-gtm-vis-first-on-screen9866930_287=""1524"" data-gtm-vis-recent-on-screen9866930_287=""1524"" data-gtm-vis-polling-id9866930_287=""209"" class=""feature__list"">
<li><span style=""font-size: 0.875rem;"">50cm x 60cm<br></span></li>
<li><span style=""font-size: 0.875rem;"">Colour:  Charcoal / Dark Grey</span></li>
<li><span style=""font-size: 0.875rem;"">Super absorbent</span></li>
<li><span style=""font-size: 0.875rem;"">Double sided for buffing and polishing </span></li>
<li>Hanging loop for optimum air drying</li>
<li>Ultra soft</li>
<li>Great for exterior cleaning &amp; detailing<br>
</li>
</ul>
<p><strong><span style=""text-decoration: underline; color: rgb(0, 170, 255);""><br></span></strong></p>",Zoo Performance,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Car Wash Solutions",Accessories,"Car Care, Car Cleaning, Cleaning, Cleaning Kit",true,Title,Default Title,,,,,,,,,200.0,shopify,deny,manual,13.95,16.95,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CLOTH.jpg?v=1739237273,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
superior-microfibre-towel-50cm-x-60cm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/cloth_3.jpg?v=1734066067,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
superior-microfibre-towel-50cm-x-60cm,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CLOTH_2.jpg?v=1734066067,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceramic-armour-protection-spray-500ml,Ceramic Coating Protection Spray 500ML,"<p><strong>""Ceramic Armour"" Coating Protection Spray<br><br>Invisible Protecive Barrier shield against UV rays and harsh Australian conditons.<br></strong><br>Our ceramic protection spray is formulated using a flurosilicone polymer to form a<br>crystal-like film over the paint surface for the maximum amount of protection. The film<br>creates a barrier to repel water, shed contaminants and enables self-cleaning.<br>It can be safely used on both coated and non-coated vehicles.<br><br>Our coconut-scented ceramic spray forms a unpenetrable protection armour not only against water and dirt but prevents discolouration from UV Rays, water spots and other harsh environment conditions. Whether you looking for paint protection, the ultimate shine-finish or to extend the condition of your vehicle’s surface inbetween washes, our ceramic armour will keep<br><br><strong>Directions:<br></strong>Pre-wash the vehicle surface with our extreme wash snow foam. Leave to Dry.<br>Shake bottle thoroughly and use only in a shaded area away from direct sunlight.<br>Hold the bottle 20-30cm away from the vehicle and spray ceramic protection evenly<br>onto paint surface in small sections. Use a slighly damp microfibre cloth or towel<br>to wipe clean.<strong><br><br>Ingredients:<br></strong>Dimethicone (CAS 63148-62-9) Methylphenyl silicone resin (CAS 67763-03-5)<br>Polyethylene Glycol Alkylphenyl Ether (CAS 9041-29-6) Deionized Water (CAS 7732-18-5) Artifical colouring and fragrance.<br><strong><br>WARNING<br></strong>Keep out of reach of children and pets.<br>If accidentially swallowed - Immediatley call a doctor or Poison Hotline.<br>Eyes: For eye contact, rinse thoroughly with water for 15 minutes.<br>In Case of Contact with Skin; Wash thoroughly with soap and water.<br>If irritation persists, contact a doctor. Use only in well ventilated areas.<br>Never mix with other household cleaners.<br>Note: Seller makes no warranty, expressed or implied nor accepts any responsibility for any direct or indirect consequential damages beyond purchase as seller as no control over user’s handling or effect of use.<br><br>Ask our team for MSDS. <strong><br></strong></p>",Zoo Performance,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Car Wash Solutions",Accessories,"Car Care, Car Cleaning, Cleaning, Cleaning Kit",true,Title,Default Title,,,,,,,,ZOO-CERAMICPROT,1000.0,shopify,deny,manual,28.95,33.95,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CERAMIC_807046fc-3b1f-4aca-b257-19dddb2c108f.jpg?v=1739237498,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
ceramic-armour-protection-spray-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/CERAMIC_COATING_-_FINAL.jpg?v=1739237396,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceramic-armour-protection-spray-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/ceramic_standing_up.jpg?v=1739237396,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bug-and-tar-remover-500ml,Bug and Tar Remover 500ML,"<p><strong>""Rubber Be Gone"" Bug and Tar Remover<br><br>Tough, Fast acting formula to remove tar, grime and stubborn, sticky residue.<br></strong><br>Tackle the toughest stains and grime with our Bug &amp; Tar Remover. This easy to use<br>concentrated formula penetrates and dissolves stubborn road tar, stains, insects,<br>grime and bird droppings for a spot-free clean surface finish.<br><br>No hard scubbing required and leaves behind an immaculate clean surface.<br>Our Bug and Tar remover is safe to use on all paint surfaces, chrome, alloy glass and<br>non-porous plastic. Perfect for removing stubburn baked-on stickers and livery residue.<br><br><strong>Directions:<br></strong>Pre-wash the affected area with our extreme wash snowfoam. Leave to Dry.<br>Shake product thoroughly before use, Hold bottle approx 20-30c away from the surface and spray evenly onto the stains. Leave to penetrate for approx 60 seconds and  wipe clean with a microfibre cloth or towel.<br>Note: Always test first on an inconspicuous area.<strong><br><br>Ingredients:<br></strong>Xylene Residual Solvent (CAS 1330-20-7) Kerosene (CAS 8008-20-6)<br>Tetrachloroethylene (CAS 127-18-4)<br>Artificial colouring and fragrance.<br><strong><br>WARNING<br></strong>Keep out of reach of children and pets.<br>If accidentially swallowed - Immediatley call a doctor or Poison Hotline.<br>Eyes: For eye contact, rinse thoroughly with water for 15 minutes.<br>In Case of Contact with Skin; Wash thoroughly with soap and water.<br>If irritation persists, contact a doctor. Use only in well ventilated areas.<br>Never mix with other household cleaners.<br>Note: Seller makes no warranty, expressed or implied nor accepts any responsibility for any direct or indirect consequential damages beyond purchase as seller as no control over user’s handling or effect of use.<br><br>Ask our team for MSDS. <strong><br></strong></p>",Zoo Performance,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Car Wash Solutions",Accessories,"Car Care, Car Cleaning, Cleaning, Cleaning Kit",true,Title,Default Title,,,,,,,,ZOO-BUGNTAR,1000.0,shopify,deny,manual,26.95,31.95,true,true,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/rubber.jpg?v=1739237444,1,"",false,,,,,,,,,,,,,,,,,,,,,,kg,,,true,,,true,,,active
bug-and-tar-remover-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/BUG_AND_TAR_REMOVER_-_FINAL.jpg?v=1739237413,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bug-and-tar-remover-500ml,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0416/4393/3854/files/bug_and_tar_standing_up.jpg?v=1739237413,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
